"nota","genotipo"
3,"LOTTC076ZL.1/1ZDB84"
3,"LOTTC076ZL.1/8DTB18"
3,"LOTTC076ZL.1/UBYYE359"
2,"LOTTC076ZL.1/UBYYE369"
5,"LOTTC136/UBYYD810"
6,"LOTTC136/UBYYE800"
5,"LOTTD256ZL.0/8XHB78"
5,"LOTTD266/8XHB78"
3,"LOTTD266ZL.2/1EEB17"
4,"LOTTD266ZL.2/1ZDB84"
6,"LOTTD266ZL.2/8DTB18"
5,"LOTTD266ZL.2/UBYYE359"
2,"LOTTD266ZL.2/UBYYE369"
7,"LOXFA016/UBTTD400"
6,"LOXFA016/UBTTD490"
5,"LOYFD070/WTP6741ZL.2"
6,"LOYFD070/ZTU7026ZL.2"
4.28125,"MG580PWU"
4,"MG593PWU"
3.61538461538462,"MG652PWU"
3,"MTTTC278ZL.0/1YHB35"
2,"MTTTC278ZL.0/PEYXD248"
4,"MTTTC278ZL.0/UBYFE078"
3,"MTTTC278ZL.0/UBYXD786"
3,"MTTTC278ZL.0/UBYXE427"
2,"MTTTC278ZL.0/WYY8370"
7,"MTTTC278ZL.0/ZYFG365"
4,"MTXXE242/UBTTD400"
4,"MTXXE242/UBTUD529"
6,"MTXXE252/UBTTD400"
7,"MTYYE317/UBTTD400"
2,"MTYYE723/4DEB01"
2.5,"MTYYE723/UBTTD400"
3,"MTYYE723/UBTTD490"
2.5,"MTYYE723/UBTTE410"
2,"MTYYE723/UBTUD529"
2,"MTYYF788/4DEB01"
6,"MTYYF788/UBTTD400"
3,"MTYYF788/UBTTD490"
2,"MTYYG121/4DEB01"
5,"MTYYG121/UBTTD400"
3,"MTYYG121/UBTTD490"
4.5,"MTYYG121/UBTTE410"
4,"MTYYG121/UBTUD529"
5,"MTYYG188/UBTTD400"
5,"MTYYG188/UBTTD490"
4.66666666666667,"NK506VIP3"
6,"NK508"
5,"NK520VIP3"
4.25,"NS75VIP3"
4.33333333333333,"NS80VIP3"
2.75,"NS88VIP3"
1.92307692307692,"NS90PRO2"
3.33333333333333,"NS91VIP2"
4.66666666666667,"NS91VIP3"
2.5,"NS95VIP2"
3.76923076923077,"P3707VYH"
2.69230769230769,"P3845VYHR"
3.33333333333333,"P3889RR"
3.6875,"P3898"
6,"PEFFB318/ZTU7026ZL.2"
6,"PEFXD256/UBTTG228ZL.0"
3,"PEFXD266/1ZRB84ZS.0"
4,"PEFXD266/B7Y6Y842ZL.1"
4,"PETCC188/B7Y6Y842ZL.1"
2.5,"PETTB399/UBYYD399"
4,"PETTE147/UBTTD400"
4,"PETTE147/UBTTD490"
3,"PETTE147/UBTUD529"
5,"PETTE147/ZTU7013"
3,"PETTF126ZL.2/1ZDB84"
6,"PETTF126ZL.2/2SHB03"
5.5,"PETTF126ZL.2/8DTB18"
